variable,grain,concept,unit,source,source_code,transform,notes
iso3,all,ISO 3166-1 alpha-3 country code,code,derived,,level,primary key component
date,month,first day of month,date,derived,,level,monthly observations dated to month start
year,year,calendar year,int,derived,,level,
cpi,month,consumer price index,index,IMF IFS / national,PCPI_IX,level,base year varies by country; use log differences only
fx,month,"nominal exchange rate, LCU per USD",LCU/USD,IMF IFS,ENDE_XDC_USD_RATE,level,increase = depreciation
policy_rate,month,central bank policy rate,% p.a.,IMF IFS / BIS,FPOLM_PA,level,58% coverage — binding for any rate-based design
money_market_rate,month,money market rate,% p.a.,IMF IFS,FIMM_PA,level,33% coverage — do not use as primary
exports_usd,month,merchandise exports,USD,IMF DOTS / IFS,TXG_FOB_USD,level,
imports_usd,month,merchandise imports,USD,IMF DOTS / IFS,TMG_CIF_USD,level,
reserves_total_usd,month,total reserves including gold,USD,IMF IFS,RAFA_USD,level,
reserves_exgold_usd,month,reserves excluding gold,USD,IMF IFS,RAXG_USD,level,
xprice_ix,month,country export price index,index=100,constructed,,level,base-weighted commodity export price index
mprice_ix,month,country import price index,index=100,constructed,,level,base-weighted commodity import price index
shock_ix,month,commodity terms of trade,index=100,constructed,,level,verified: shock_ix = 100 * xprice_ix / mprice_ix
shock_rw_ix,month,"commodity ToT, real-weighted",index=100,constructed,,level,alternative weighting scheme
gdp_usd,year,"GDP, current prices",USD,World Bank WDI,NY.GDP.MKTP.CD,level,
gdp_growth,year,real GDP growth,% p.a.,World Bank WDI,NY.GDP.MKTP.KD.ZG,level,"annual %, NOT comparable to lp infl_yoy log units"
gdp_pc_usd,year,"GDP per capita, current prices",USD,World Bank WDI,NY.GDP.PCAP.CD,level,
cpi_index,year,"consumer price index, annual",index,World Bank WDI,FP.CPI.TOTL,level,annual analogue of monthly cpi; different base
inflation,year,CPI inflation,% p.a.,World Bank WDI,FP.CPI.TOTL.ZG,level,"percent change, NOT a log difference"
reer,year,real effective exchange rate,index=100,World Bank WDI,PX.REX.REER,level,43% coverage — THE binding constraint on the climate-FX design
fx_lcu_usd,year,"official exchange rate, period average",LCU/USD,World Bank WDI,PA.NUS.FCRF,level,
reserves_usd,year,total reserves,USD,World Bank WDI,FI.RES.TOTL.CD,level,WDI series; differs from IFS reserves in the month table
resource_rents_gdp,year,total natural resource rents,% of GDP,World Bank WDI,NY.GDP.TOTL.RT.ZS,level,
oil_rents_gdp,year,oil rents,% of GDP,World Bank WDI,NY.GDP.PETR.RT.ZS,level,
gas_rents_gdp,year,natural gas rents,% of GDP,World Bank WDI,NY.GDP.NGAS.RT.ZS,level,
mineral_rents_gdp,year,mineral rents,% of GDP,World Bank WDI,NY.GDP.MINR.RT.ZS,level,
government_debt_gdp,year,central government debt,% of GDP,World Bank WDI,GC.DOD.TOTL.GD.ZS,level,21% coverage — unusable as a control
exports_gdp,year,exports of goods and services,% of GDP,World Bank WDI,NE.EXP.GNFS.ZS,level,ratio; not the level series in the month table
imports_gdp,year,imports of goods and services,% of GDP,World Bank WDI,NE.IMP.GNFS.ZS,level,
trade_openness,year,(exports + imports) / GDP,% of GDP,derived,,derived,recomputed in the view layer
population,year,total population,persons,World Bank WDI,SP.POP.TOTL,level,
temperature,year,mean annual temperature,deg C,CRU / WB CCKP,,level,
temperature_z,year,"temperature anomaly, standardised",sd,derived,,derived,z-score vs country baseline; baseline window must be documented
precipitation,year,total annual precipitation,mm,CRU / WB CCKP,,level,
precipitation_z,year,"precipitation anomaly, standardised",sd,derived,,derived,
temp_base_mean,year,baseline mean temperature,deg C,derived,,derived,z-score denominator input
temp_base_sd,year,baseline sd of temperature,deg C,derived,,derived,
pr_base_mean,year,baseline mean precipitation,mm,derived,,derived,
pr_base_sd,year,baseline sd of precipitation,mm,derived,,derived,
ndgain_vulnerability,year,ND-GAIN vulnerability score,0-1,ND-GAIN,,level,
ndgain_readiness,year,ND-GAIN readiness score,0-1,ND-GAIN,,level,
agriculture_value_added_gdp,year,agriculture value added,% of GDP,World Bank WDI,NV.AGR.TOTL.ZS,level,
us_exports_to_dza,month,"US goods exports to Algeria, nominal",USD million,US Census via FRED,EXP7210,level,revised monthly; see qa/revision_report.csv
us_imports_from_dza,month,"US goods imports from Algeria, nominal",USD million,US Census via FRED,IMP7210,level,revised monthly
us_policy_rate,month,effective federal funds rate,% p.a.,FRED,FEDFUNDS,level,renamed from fedfunds / us_interest_rate
us_cpi,month,"US CPI, all urban consumers, SA",index,FRED,CPIAUCSL,level,PREVIOUSLY MISLABELLED 'global_inflation' — it is US CPI
oil_price_wti,month,"WTI spot, monthly mean of daily",USD/bbl,FRED,DCOILWTICO,level,wrong benchmark for Algerian crude; keep for US-side work only
oil_price_brent,month,"Brent spot, monthly mean",USD/bbl,FRED,DCOILBRENTEU,level,REQUIRED for any Algeria pricing analysis; not yet in the drop
