table,variable,n_obs,n_rows,coverage_pct
core_country_month,money_market_rate,7067,21560,32.8
core_country_month,cpi,11892,21560,55.2
core_country_month,policy_rate,12569,21560,58.3
core_country_month,reserves_total_usd,18178,21560,84.3
core_country_month,reserves_exgold_usd,18178,21560,84.3
core_country_month,fx,19754,21560,91.6
core_country_month,exports_usd,21096,21560,97.8
core_country_month,imports_usd,21096,21560,97.8
core_country_month,xprice_ix,21101,21560,97.9
core_country_month,mprice_ix,21101,21560,97.9
core_country_month,shock_ix,21101,21560,97.9
core_country_month,shock_rw_ix,21101,21560,97.9
core_country_year,government_debt_gdp,1645,7812,21.1
core_country_year,reer,3363,7812,43.0
core_country_year,ndgain_vulnerability,5700,7812,73.0
core_country_year,ndgain_readiness,5760,7812,73.7
core_country_year,reserves_usd,6029,7812,77.2
core_country_year,oil_rents_gdp,6054,7812,77.5
core_country_year,gas_rents_gdp,6083,7812,77.9
core_country_year,exports_gdp,6134,7812,78.5
core_country_year,imports_gdp,6134,7812,78.5
core_country_year,trade_openness,6134,7812,78.5
core_country_year,inflation,6180,7812,79.1
core_country_year,cpi_index,6239,7812,79.9
core_country_year,mineral_rents_gdp,6417,7812,82.1
core_country_year,resource_rents_gdp,6417,7812,82.1
core_country_year,agriculture_value_added_gdp,6578,7812,84.2
core_country_year,gdp_growth,7296,7812,93.4
core_country_year,fx_lcu_usd,7308,7812,93.5
core_country_year,gdp_pc_usd,7401,7812,94.7
core_country_year,gdp_usd,7401,7812,94.7
core_country_year,temp_base_mean,7596,7812,97.2
core_country_year,temp_base_sd,7596,7812,97.2
core_country_year,temperature,7596,7812,97.2
core_country_year,temperature_z,7596,7812,97.2
core_country_year,pr_base_mean,7740,7812,99.1
core_country_year,pr_base_sd,7740,7812,99.1
core_country_year,precipitation,7740,7812,99.1
core_country_year,precipitation_z,7740,7812,99.1
core_country_year,population,7812,7812,100.0
core_dyad_month,us_exports_to_dza,483,483,100.0
core_dyad_month,us_imports_from_dza,483,483,100.0
core_dyad_month,us_policy_rate,483,483,100.0
core_dyad_month,us_cpi,483,483,100.0
core_dyad_month,oil_price_wti,483,483,100.0
